time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446950000	18.7099	7.15981	4.94085	1.01037	0.402034	radar	0.61398	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9081	7.29727	4.90108	0.987322	0.353154	lidar	4.14749	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.995	7.5045	4.839	1.03001	0.395139	radar	4.16669	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0868	7.76287	4.87957	1.07372	0.422049	lidar	1.06983	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2071	7.97112	4.87905	1.08918	0.413624	radar	0.296646	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.287	8.18553	4.85742	1.11946	0.424885	lidar	1.42994	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3857	8.39707	4.85702	1.13572	0.413295	radar	2.30067	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4815	8.5462	4.7639	1.13985	0.396075	lidar	4.12552	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5716	8.75688	4.74274	1.16386	0.40551	radar	0.606128	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7343	8.92911	4.71916	1.14788	0.365043	lidar	4.22982	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8065	9.15251	4.69929	1.18265	0.392711	radar	1.03153	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9378	9.37453	4.72523	1.18696	0.375129	lidar	2.91475	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9819	9.59892	4.68291	1.23364	0.422069	radar	2.77697	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0701	9.83559	4.70845	1.25307	0.419847	lidar	0.676798	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1303	10.0835	4.74484	1.27912	0.419806	radar	7.08247	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1788	10.3525	4.79364	1.31474	0.435368	lidar	0.830675	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1942	10.5894	4.76569	1.36351	0.47885	radar	2.99209	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2532	10.8594	4.81923	1.38898	0.479557	lidar	1.95102	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2822	11.1146	4.84532	1.41785	0.481064	radar	4.8732	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
